"GroupName"
"CN=OCMW,OU=Groepen,DC=CSdom,DC=be"
"CN=Gemeente,OU=Groepen,DC=CSdom,DC=be"
"CN=CTX-Desktop,OU=Groepen,DC=CSdom,DC=be"
"CN=GG-MEM-ModernWorkplace,OU=Groepen,DC=CSdom,DC=be"
"CN=Manager,OU=Groepen,DC=CSdom,DC=be"
"CN=Servicedesk,OU=Groepen,DC=CSdom,DC=be"
"CN=Burgerzaken,OU=Groepen,DC=CSdom,DC=be"
"CN=App Foxtrot,OU=Groepen,DC=CSdom,DC=be"
"CN=App eBestuur,OU=Groepen,DC=CSdom,DC=be"
